product_id,product_title,rating,total_reviews,price,top_reviews
itm7e75db4f27bd5,"Apple iPhone 16 Pro Max (Black Titanium, 256 GB)",4.7,498,"₹1,34,999","5 Excellent iPhone 16 Pro Max | Desert Titanium | So powerful like a mini supercomputer ❤️ READ MORE Saransh Goswami Certified Buyer , Noida 11 months ago 2374 1047 Permalink Report Abuse || 5 Best in the market! This is a mini supercomputer. Speed just wow !!! READ MORE SHUBHANKAR KARMAKAR Certified Buyer , North 24 Parganas 10 months ago 1353 584 Permalink Report Abuse || 5 Great product The best. READ MORE Amrit Pratyush Pattanaik Certified Buyer , Bhubaneswar 11 months ago 502 206 Permalink Report Abuse"
itmce4bb3f55cc2f,"Apple iPhone 16 (Teal, 128 GB)",4.6,"3,606","₹69,999","5 Mind-blowing purchase Super and cool photo READ MORE Flipkart Customer Certified Buyer , Uttara Kannada District 7 months ago 1153 282 Permalink Report Abuse || 5 Wonderful such a beautiful color 🩷🥺😍 READ MORE Swagatika Hota Certified Buyer , Koraput 8 days ago 13 0 Permalink Report Abuse || 5 Mind-blowing purchase I love it ❤️❤️ READ MORE Ravi Arya Certified Buyer , Gangoh 8 months ago 427 114 Permalink Report Abuse"
itm7c0281cd247be,"Apple iPhone 16 (White, 128 GB)",4.6,"3,606","₹69,999","5 Mind-blowing purchase Super and cool photo READ MORE Flipkart Customer Certified Buyer , Uttara Kannada District 7 months ago 1153 282 Permalink Report Abuse || 5 Wonderful such a beautiful color 🩷🥺😍 READ MORE Swagatika Hota Certified Buyer , Koraput 8 days ago 13 0 Permalink Report Abuse || 5 Mind-blowing purchase I love it ❤️❤️ READ MORE Ravi Arya Certified Buyer , Gangoh 8 months ago 427 114 Permalink Report Abuse"
itma0ed9b33a2973,"Apple iPhone 16 (White, 256 GB)",4.6,"3,606","₹79,999","5 Mind-blowing purchase Super and cool photo READ MORE Flipkart Customer Certified Buyer , Uttara Kannada District 7 months ago 1153 282 Permalink Report Abuse || 5 Wonderful such a beautiful color 🩷🥺😍 READ MORE Swagatika Hota Certified Buyer , Koraput 8 days ago 13 0 Permalink Report Abuse || 5 Mind-blowing purchase I love it ❤️❤️ READ MORE Ravi Arya Certified Buyer , Gangoh 8 months ago 427 114 Permalink Report Abuse"
itm558f640581d44,"Apple iPhone 13 Pro Max (Silver, 128 GB)",4.6,193,"₹1,29,900","5 Perfect product! This is it, I am in love with my Oh.So.Pro🥰😍 READ MORE Nimisha yadav Certified Buyer , Bengaluru Nov, 2021 11655 1299 Permalink Report Abuse || 5 Worth every penny Truly the best pro max. Worth the upgrade..Awesome build quality READ MORE Chandan Hazarika Certified Buyer , North Lakhimpur Feb, 2022 5560 824 Permalink Report Abuse || 5 Fabulous! Best in class READ MORE Sumrendra Singh Certified Buyer , Lucknow Oct, 2021 1926 271 Permalink Report Abuse"
itm69ef2143f2bf5,"Apple iPhone 13 Pro Max (Graphite, 256 GB)",4.6,193,"₹1,39,900","5 Perfect product! This is it, I am in love with my Oh.So.Pro🥰😍 READ MORE Nimisha yadav Certified Buyer , Bengaluru Nov, 2021 11655 1299 Permalink Report Abuse || 5 Worth every penny Truly the best pro max. Worth the upgrade..Awesome build quality READ MORE Chandan Hazarika Certified Buyer , North Lakhimpur Feb, 2022 5560 824 Permalink Report Abuse || 5 Fabulous! Best in class READ MORE Sumrendra Singh Certified Buyer , Lucknow Oct, 2021 1926 271 Permalink Report Abuse"
itm56cb6b1327175,"Apple iPhone 13 Pro Max (Gold, 256 GB)",4.6,193,"₹1,39,900","5 Perfect product! This is it, I am in love with my Oh.So.Pro🥰😍 READ MORE Nimisha yadav Certified Buyer , Bengaluru Nov, 2021 11655 1299 Permalink Report Abuse || 5 Worth every penny Truly the best pro max. Worth the upgrade..Awesome build quality READ MORE Chandan Hazarika Certified Buyer , North Lakhimpur Feb, 2022 5560 824 Permalink Report Abuse || 5 Fabulous! Best in class READ MORE Sumrendra Singh Certified Buyer , Lucknow Oct, 2021 1926 271 Permalink Report Abuse"
itmbe5170f10a29f,"Apple iPhone 13 Pro Max (Graphite, 512 GB)",4.6,193,"₹1,59,900","5 Perfect product! This is it, I am in love with my Oh.So.Pro🥰😍 READ MORE Nimisha yadav Certified Buyer , Bengaluru Nov, 2021 11655 1299 Permalink Report Abuse || 5 Worth every penny Truly the best pro max. Worth the upgrade..Awesome build quality READ MORE Chandan Hazarika Certified Buyer , North Lakhimpur Feb, 2022 5560 824 Permalink Report Abuse || 5 Fabulous! Best in class READ MORE Sumrendra Singh Certified Buyer , Lucknow Oct, 2021 1926 271 Permalink Report Abuse"
itmd21bfa03be8c2,"Apple iPhone 14 Pro Max (Gold, 256 GB)",4.6,166,"₹1,44,900","5 Just wow! Finally after long wait I got my 512 GB IPhone 14 Pro Max, Deep Purple Colour. Superb Camera quality. Looks Premium. Upgraded from IPhone XR. Battery backup is nice. Thank you Flipkart for timely delivery. READ MORE Sandhya Rani Mohapatra Certified Buyer , Bhubaneswar Oct, 2022 19734 2928 Permalink Report Abuse || 5 Brilliant Bought 1TB pro Max .... Op product..... Delivered safely and effectively... Thank you ❤️ READ MORE New world Order NWO Certified Buyer , Thoothukkudi Sep, 2022 8125 1279 Permalink Report Abuse || 5 Excellent Superb camera superb built quality, display best in the market. 24hr minimum Battery backup. daily use moderately sometime play games but not often . 2things are awesome the sound , never ever experience this type of sound and last but not the least camera in night mode it is beast . Video 🔥 READ MORE Naresh Meher Certified Buyer , Bhiwandi May, 2023 5350 831 Permalink Report Abuse"
itm8a92b3d600e04,"Apple iPhone 14 Pro Max (Space Black, 256 GB)",4.6,166,"₹1,44,900","5 Just wow! Finally after long wait I got my 512 GB IPhone 14 Pro Max, Deep Purple Colour. Superb Camera quality. Looks Premium. Upgraded from IPhone XR. Battery backup is nice. Thank you Flipkart for timely delivery. READ MORE Sandhya Rani Mohapatra Certified Buyer , Bhubaneswar Oct, 2022 19734 2928 Permalink Report Abuse || 5 Brilliant Bought 1TB pro Max .... Op product..... Delivered safely and effectively... Thank you ❤️ READ MORE New world Order NWO Certified Buyer , Thoothukkudi Sep, 2022 8125 1279 Permalink Report Abuse || 5 Excellent Superb camera superb built quality, display best in the market. 24hr minimum Battery backup. daily use moderately sometime play games but not often . 2things are awesome the sound , never ever experience this type of sound and last but not the least camera in night mode it is beast . Video 🔥 READ MORE Naresh Meher Certified Buyer , Bhiwandi May, 2023 5350 831 Permalink Report Abuse"
itm450e8757732f9,"Apple iPhone 14 Pro Max (Silver, 512 GB)",4.6,166,"₹1,64,900","5 Just wow! Finally after long wait I got my 512 GB IPhone 14 Pro Max, Deep Purple Colour. Superb Camera quality. Looks Premium. Upgraded from IPhone XR. Battery backup is nice. Thank you Flipkart for timely delivery. READ MORE Sandhya Rani Mohapatra Certified Buyer , Bhubaneswar Oct, 2022 19734 2928 Permalink Report Abuse || 5 Brilliant Bought 1TB pro Max .... Op product..... Delivered safely and effectively... Thank you ❤️ READ MORE New world Order NWO Certified Buyer , Thoothukkudi Sep, 2022 8125 1279 Permalink Report Abuse || 5 Excellent Superb camera superb built quality, display best in the market. 24hr minimum Battery backup. daily use moderately sometime play games but not often . 2things are awesome the sound , never ever experience this type of sound and last but not the least camera in night mode it is beast . Video 🔥 READ MORE Naresh Meher Certified Buyer , Bhiwandi May, 2023 5350 831 Permalink Report Abuse"
itm5d37f9e956ec7,"Apple iPhone 14 Pro Max (Deep Purple, 256 GB)",4.6,166,"₹1,44,900","5 Just wow! Finally after long wait I got my 512 GB IPhone 14 Pro Max, Deep Purple Colour. Superb Camera quality. Looks Premium. Upgraded from IPhone XR. Battery backup is nice. Thank you Flipkart for timely delivery. READ MORE Sandhya Rani Mohapatra Certified Buyer , Bhubaneswar Oct, 2022 19734 2928 Permalink Report Abuse || 5 Brilliant Bought 1TB pro Max .... Op product..... Delivered safely and effectively... Thank you ❤️ READ MORE New world Order NWO Certified Buyer , Thoothukkudi Sep, 2022 8125 1279 Permalink Report Abuse || 5 Excellent Superb camera superb built quality, display best in the market. 24hr minimum Battery backup. daily use moderately sometime play games but not often . 2things are awesome the sound , never ever experience this type of sound and last but not the least camera in night mode it is beast . Video 🔥 READ MORE Naresh Meher Certified Buyer , Bhiwandi May, 2023 5350 831 Permalink Report Abuse"
itmbc976875d6658,"Apple iPhone 15 Pro Max (White Titanium, 512 GB)",4.6,195,"₹1,79,900","5 Mind-blowing purchase Excellent 👌 Khoobsurat ❤️ READ MORE Prafull Verma Certified Buyer , Dongar Parasia Jul, 2024 1741 383 Permalink Report Abuse || 5 Super! 💕 good READ MORE KUMMARA MOHAN Certified Buyer , Vijayawada Sep, 2024 58 12 Permalink Report Abuse || 5 Excellent Good design, thinner bezzel, good performance, good battery life, outstanding 5x optical zoom camera READ MORE Jaspreet Virdi Certified Buyer , Jaipur Oct, 2023 3013 1134 Permalink Report Abuse"
itm9d44960698192,"Apple iPhone 15 Pro Max (Natural Titanium, 256 GB)",4.6,195,"₹1,59,900","5 Mind-blowing purchase Excellent 👌 Khoobsurat ❤️ READ MORE Prafull Verma Certified Buyer , Dongar Parasia Jul, 2024 1741 383 Permalink Report Abuse || 5 Super! 💕 good READ MORE KUMMARA MOHAN Certified Buyer , Vijayawada Sep, 2024 58 12 Permalink Report Abuse || 5 Excellent Good design, thinner bezzel, good performance, good battery life, outstanding 5x optical zoom camera READ MORE Jaspreet Virdi Certified Buyer , Jaipur Oct, 2023 3013 1134 Permalink Report Abuse"
itmb8fb401cba153,"Apple iPhone 15 Pro Max (White Titanium, 1 TB)",4.6,195,"₹1,99,900","5 Mind-blowing purchase Excellent 👌 Khoobsurat ❤️ READ MORE Prafull Verma Certified Buyer , Dongar Parasia Jul, 2024 1741 383 Permalink Report Abuse || 5 Super! 💕 good READ MORE KUMMARA MOHAN Certified Buyer , Vijayawada Sep, 2024 58 12 Permalink Report Abuse || 5 Excellent Good design, thinner bezzel, good performance, good battery life, outstanding 5x optical zoom camera READ MORE Jaspreet Virdi Certified Buyer , Jaipur Oct, 2023 3013 1134 Permalink Report Abuse"
itm5eabe6c34067e,"Apple iPhone 15 Pro Max (Black Titanium, 1 TB)",4.6,195,"₹1,99,900","5 Mind-blowing purchase Excellent 👌 Khoobsurat ❤️ READ MORE Prafull Verma Certified Buyer , Dongar Parasia Jul, 2024 1741 383 Permalink Report Abuse || 5 Super! 💕 good READ MORE KUMMARA MOHAN Certified Buyer , Vijayawada Sep, 2024 58 12 Permalink Report Abuse || 5 Excellent Good design, thinner bezzel, good performance, good battery life, outstanding 5x optical zoom camera READ MORE Jaspreet Virdi Certified Buyer , Jaipur Oct, 2023 3013 1134 Permalink Report Abuse"
itmb395142fd7c8b,"IQOO Neo 9 Pro (Fiery Red, 256 GB)",4.5,16,"₹38,299","5 Classy product Vlue for money 💰 READ MORE AKASH R Certified Buyer , Cuddalore Apr, 2024 643 186 Permalink Report Abuse || 5 Brilliant Good READ MORE Sreenu  Vakada Certified Buyer , East Godavari District Apr, 2024 230 67 Permalink Report Abuse || 5 Great product Beast pho READ MORE Mukesh Chohan Certified Buyer , New Delhi Aug, 2024 81 23 Permalink Report Abuse"
itmb395142fd7c8b,"IQOO Neo 9 Pro (Conqueror Black, 256 GB)",4.5,16,"₹38,989","5 Classy product Vlue for money 💰 READ MORE AKASH R Certified Buyer , Cuddalore Apr, 2024 643 186 Permalink Report Abuse || 5 Brilliant Good READ MORE Sreenu  Vakada Certified Buyer , East Godavari District Apr, 2024 230 67 Permalink Report Abuse || 5 Great product Beast pho READ MORE Mukesh Chohan Certified Buyer , New Delhi Aug, 2024 81 23 Permalink Report Abuse"
itmbadc894a42a39,"IQOO NEO9 PRO (Fiery Red, 128 GB)",4.5,47,"₹32,199","5 Mind-blowing purchase Good ausom READ MORE Chetu  Runwal Certified Buyer , Kinwat Mar, 2024 330 95 Permalink Report Abuse || 5 Great product Value for money mobile READ MORE Sanjay Haldar Certified Buyer , Noida Mar, 2024 409 121 Permalink Report Abuse || 5 Wonderful Phone is good gaming and all normal use READ MORE Sooraj Appu Certified Buyer , Palakkad District Mar, 2024 292 83 Permalink Report Abuse"
